label,comment_processed
1,非常 喜欢 石窟 艺术 佛像 震撼 慈祥 眼缘 
0,工作人员 素质 低 检票 工作人员 素质 有待 提高 
1,天气 比较 凉爽 整体 游玩 不错 一个 人去 走走停停 大概 小时 寺 环境 讲解 作用 一个 人盲 长见识 信号 不错 不怎么 费 流量 其实 
1,最牛 寺庙 没有 
1,已经 第二次 老君山 游玩 游玩 赶上 下雨 体会 云海 美景 云雾 缭绕 步入 仙境 再次 领略 老君山 美 以后 机会 时间 还会 再次 老君山 老君山 游玩 
0,白马寺 洛阳 比较 著名 一个 景点 中国 著名 佛教 名刹 取名 白马 印度 托经 了解 中国 佛教 发展 历史 建筑史 帮助 一个 地方 旅游 高峰 时节 人流 如梭 川流不息 门票 便宜 中国 景区 通病 
1,非常 有名 景点 游客 非常 
1,风景 挺 做 第一段 索道 山 两个 小时 走 山顶 属于 走 边玩 类型 山顶 下雨 赶紧 坐 索道 下山 据说 两天 时间 考虑 第一晚 住 山上 第二天 日出 
1,导游 王金芳 服务 热情周到 讲解 细致 内容 丰富 非常 满意 
0,建议 夜 爬 晚上 几乎 交通工具 不开 双腿 盘山公路 巴士 坐地 起价 白天 绝对 价 山上 物价 倒 高 理解 明明 一趟 车 走 完 路 非要 用趟 车才行 希望 景点 巩固 一下 系统 游玩 流程 希望 纯 爬 花钱 坐车 坐 缆车 现在 花钱 出力 喜欢 厕所 希望 开放 几个 卫生 景色 美的 夜 爬 看到 星星 
1,感觉 唐朝 盛世 工匠 门 伟大 值得 没有 白 去一趟 推荐 
1,天高 云淡风轻 峰林 嵯峨 峥嵘 栈道 长空 孤悬 一步 一景 正道 景室 不墨 千秋 画 李耳 老 万年青 老君山 十里 画屏 晚秋 印象 
1,青春 没有 售价 年轻 逛逛 
0,抖音 火 炒作 不配 
1,非常 壮观 历史 瑰宝 建议 导游 讲解 更 深入 了解 历史 涵义 
1,使用方便 价格便宜 
1,白马寺 门票 元 旺季 淡季 里面 景色 优美 佛教文化 浓郁 
1,导游 讲解 详细 生动 态度 小朋友 耐心 
1,景色 不错 一家人 游玩 全程 缆车 走 三 小时 
1,年 前去 一次 龙门石窟 景区 很小 买票 进入 几分钟 看到 卢舍那 大佛 完 之后 出 景区 龙门石窟 景区 很多 需要 坐 电瓶车 景区 里 开发 很多 新景点 王池 摩崖 三佛 万佛洞 完 西山 石窟 套票 里 东山 石窟 香山寺 白园 参观 慢慢 逛 差不多 需要 一天 时间 尤其 西山 石窟 洞窟 太多 值得一看 
1,风景秀丽 气候宜人 索道 太 分开 索道 票 太贵 坐太累 坐 太贵 隐形 强制 附加 消费 
1,老君山 应该 两年 红 起来 一个 景点 周末 非常 多有 时间 条件 建议 非 周末 车 直接 开进 景区 里面 很多 大大小小 停车场 停 索道 入口处 旁边 景区 共有 两级 索道 建议 购买 第二个 索道 下来 金顶 走 一个多 小时 腿 第二个 索道 下来 之后 走 半小时 左右 一个 电 直达 金顶 电梯 乘坐 节省 半个 小时 时间 觉得 意义 没有 购买 这天 刚好 小雨 山上 云雾 缭绕 景 不错 觉得 一次 就够 没有 再次 欲望 山上 厕所 很脏 这点 景区 匹配 建议 学学 九寨沟 管理 
1,好好 好好 靓靓 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 好靓靚靓 好好 好好 好好 好好 好好 好好 好好 好好 好好 好好 
1,中国 第一 古刹 风景如画 值得一看 
1,白马寺 中国 第一 古刹 世界 著名 伽蓝 佛教 传入 中国 兴建 第一座 官办 寺院 中国 佛教 祖庭 释源 之称 现存 遗址 古迹 元明清 时所留 值得 看看 了解 知识 
1,龙门石窟 不虚此行 很棒 洛阳 景点 卢舍那 大佛 震撼 名不虚传 
1,卢舍那 大佛 漂亮 
1,地方 周边 环境 非常 不错 
1,老君山 景区 天下 名山 道教 胜地 山景 维奇 生态 完美 世界 地质公园 国家级 生态旅游 风景区 老君山 脱落 峰林 举世无双 
0,中国 第一个 皇家 寺庙 环境 非常 不错 看看 
1,推荐 行比 看好 
1,不愧 千年 古刹 进去 一种 庄严 肃静 感觉 
0,天气 太热人 
1,十三 古都 千年 古刹 洛阳 必去 景点 新修 缅甸 泰国 印度 三国 朝拜 建筑 礼佛 圣地 
1,龙门 不远 一块 打车 不贵 
1,地方 挺不错 风景 挺 看看 
1,一次 一个 旅行 一次 说走就走 旅行 次 沉淀 下来 旅行 
1,非常 值得 一个 景点 消费 包括 山上 非常 合理 非常 诚意 
1,不错 
1,山 不见 自见 山远 赴 人间 惊鸿 宴 一睹 仙山 盛世 颜 值得 一去 登顶 感觉 一起 值 
1,白马寺 香火 鼎盛 人气 十足 一去 
